,date,map_name,player_one_race,player_two_race,player_one,player_two,game_length,winner_name,p_one_winner
0,2021-09-02,Jagannatha LE,Zerg,Zerg,Serral,ShoWTimE,30.03,Serral,1
1,2021-07-09,2000 Atmospheres LE,Terran,Terran,XDthermyDX,JustJumy,05.50,XDthermyDX,1
2,2021-10-23,Glittering Ashes LE,Terran,Terran,CuKu,XDthermyDX,08.44,XDthermyDX,0
3,2021-09-19,2000 Atmospheres LE,Zerg,Zerg,DPGRogue,DPGDark,16.02,DPGRogue,1
4,2021-09-19,Jagannatha LE,Zerg,Zerg,DPGRogue,DPGDark,04.46,DPGRogue,1
5,2021-09-19,Romanticide LE,Zerg,Zerg,DPGRogue,DPGDark,06.50,DPGDark,0
6,2021-09-19,Oxide LE,Zerg,Zerg,DPGRogue,DPGDark,17.06,DPGRogue,1
7,2021-09-19,2000 Atmospheres LE,Terran,Terran,Maru,DPGRogue,09.21,DPGRogue,0
8,2021-09-19,Blackburn LE,Terran,Terran,Maru,DPGRogue,09.36,Maru,1
9,2021-09-19,Beckett Industries LE,Terran,Terran,Maru,DPGRogue,07.50,Maru,1
10,2021-09-19,Romanticide LE,Terran,Terran,Maru,DPGRogue,24.37,DPGRogue,0
11,2021-09-19,Oxide LE,Terran,Terran,Maru,DPGRogue,04.20,Maru,1
12,2021-09-19,Lightshade LE,Terran,Terran,Maru,DPGRogue,06.09,Maru,1
13,2021-09-19,Jagannatha LE,Terran,Terran,maru,HeroMarine,10.12,maru,1
14,2021-09-19,Oxide LE,Terran,Terran,maru,HeroMarine,08.53,maru,1
15,2021-09-19,Romanticide LE,Terran,Terran,maru,HeroMarine,09.43,maru,1
16,2021-10-30,2000 Atmospheres LE,Protoss,Protoss,LouisXIII,starkiller,22.26,starkiller,0
17,2021-09-19,2000 Atmospheres LE,Zerg,Zerg,Serral,maru,24.05,maru,0
18,2021-09-19,Oxide LE,Zerg,Zerg,Serral,maru,15.04,maru,0
19,2021-09-19,Lightshade LE,Zerg,Zerg,Serral,maru,11.16,maru,0
20,2021-04-27,Romanticide LE,Protoss,Protoss,DPGZest,Maru,16.16,Maru,0
21,2021-09-26,Lightshade LE,Terran,Terran,XDthermyDX,llllllllllll,08.10,XDthermyDX,1
22,2021-04-27,Óxido EE,Protoss,Protoss,Trap,DPGCure,11.19,DPGCure,0
23,2021-04-28,Romanticide LE,Terran,Terran,DPGCure,Trap,09.27,DPGCure,1
24,2021-09-18,Oxide LE,Protoss,Protoss,Astrea,DPGRogue,10.28,DPGRogue,0
25,2021-09-18,Romanticide LE,Protoss,Protoss,Astrea,DPGrogue,15.08,Astrea,1
26,2021-09-18,Jagannatha LE,Protoss,Protoss,Astrea,DPGrogue,19.25,DPGrogue,0
27,2021-09-18,Lightshade LE,Protoss,Protoss,PartinG,Astrea,09.27,PartinG,1
28,2021-09-18,Oxide LE,Protoss,Protoss,PartinG,Astrea,04.57,PartinG,1
29,2021-09-19,2000 Atmospheres LE,Zerg,Zerg,DPGDark,DPGZest,10.02,DPGZest,0
30,2021-09-19,Lightshade LE,Zerg,Zerg,DPGDark,DPGZest,11.39,DPGDark,1
31,2021-09-19,Romanticide LE,Zerg,Zerg,DPGDark,DPGZest,20.24,DPGZest,0
32,2021-09-19,Oxide LE,Zerg,Zerg,DPGDark,DPGZest,08.47,DPGDark,1
33,2021-09-19,Jagannatha LE,Zerg,Zerg,DPGDark,DPGZest,41.33,DPGDark,1
