,date,map_name,player_one_race,player_two_race,player_one,player_two,game_length,winner_name,p_one_winner
0,2021,jagannatha le,zerg,zerg,serral,showtime,30.03,serral,1
1,2021,2000 atmospheres le,zerg,zerg,serral,maru,24.05,maru,0
2,2021,oxide le,zerg,zerg,serral,maru,15.04,maru,0
3,2021,lightshade le,zerg,zerg,serral,maru,11.16,maru,0
4,2021,oxide le,protoss,protoss,trap,cure,11.19,cure,0
5,2021,lightshade le,protoss,protoss,parting,astrea,09.27,parting,1
6,2021,oxide le,protoss,protoss,parting,astrea,04.57,parting,1
7,2021,lightshade le,zerg,zerg,reynor,heromarine,14.21,reynor,1
8,2021,oxide le,zerg,zerg,reynor,heromarine,17.37,reynor,1
9,2021,2000 atmospheres le,zerg,zerg,reynor,heromarine,15.15,heromarine,0
10,2021,blackburn le,zerg,zerg,reynor,heromarine,16.26,heromarine,0
11,2021,romanticide le,zerg,zerg,reynor,heromarine,21.57,heromarine,0
12,2021,oxide le,protoss,protoss,parting,serral,23.14,serral,0
13,2021,blackburn le,protoss,protoss,parting,serral,02.50,serral,0
14,2021,oxide le,protoss,protoss,parting,serral,11.11,serral,0
15,2021,lightshade le,protoss,protoss,parting,serral,15.23,serral,0
16,2021,oxide le,zerg,zerg,jimrising,cham,09.52,jimrising,1
17,2021,romanticide le,zerg,zerg,jimrising,cham,10.40,jimrising,1
18,2021,romanticide le,protoss,protoss,gerald,soul,08.40,soul,0
19,2021,2000 atmospheres le,protoss,protoss,gerald,soul,11.50,gerald,1
20,2021,blackburn le,protoss,protoss,gerald,soul,11.01,soul,0
21,2021,oxide le,protoss,protoss,gerald,soul,08.31,soul,0
22,2021,2000 atmospheres le,protoss,protoss,hellraiser,skillous,08.55,skillous,0
23,2021,jagannatha le,protoss,protoss,hellraiser,skillous,09.08,hellraiser,1
24,2021,blackburn le,protoss,protoss,hellraiser,skillous,08.58,hellraiser,1
25,2021,romanticide le,protoss,protoss,hellraiser,skillous,13.22,skillous,0
26,2021,oxide le,protoss,protoss,hellraiser,skillous,10.53,skillous,0
27,2021,blackburn le,terran,terran,special,jimrising,06.51,special,1
28,2021,romanticide le,terran,terran,special,jimrising,07.24,special,1
29,2021,2000 atmospheres le,terran,terran,uthermal,krystianer,11.39,uthermal,1
30,2021,blackburn le,protoss,protoss,mana,ptitdrogo,15.30,ptitdrogo,0
31,2021,2000 atmospheres le,protoss,protoss,mana,ptitdrogo,05.50,mana,1
32,2021,jagannatha le,protoss,protoss,mana,ptitdrogo,06.20,mana,1
33,2021,romanticide le,protoss,protoss,mana,ptitdrogo,07.49,ptitdrogo,0
34,2021,beckett industries le,protoss,protoss,mana,ptitdrogo,14.43,ptitdrogo,0
35,2021,romanticide le,protoss,protoss,maxpax,uthermal,26.27,maxpax,1
36,2021,lightshade le,protoss,protoss,maxpax,uthermal,15.20,maxpax,1
37,2021,oxide le,protoss,protoss,maxpax,uthermal,07.04,uthermal,0
